class,fn,duration
0,dpkg-genbuildinfo.wav,0.10784580498866213
0,x86_64-linux-gnu-gcc-ranlib-13.wav,0.20120181405895693
0,qemu-nbd.wav,15.009954648526078
0,wireplumber.wav,0.13063492063492063
0,pw-profiler.wav,0.15335600907029479
0,qvlc.wav,0.0004761904761904762
0,dpkg-statoverride.wav,0.29272108843537414
0,tracker3-tag.wav,0.1789795918367347
0,xvidtune.wav,0.2542630385487528
0,systemd-sysusers.wav,0.38700680272108845
0,vim.tiny.wav,9.84374149659864
0,xwud.wav,0.17612244897959184
0,hipercdecode.wav,0.10655328798185941
0,x86_64-linux-gnu-gcov.wav,6.294988662131519
0,c99.wav,0.0028117913832199546
0,false.wav,0.15294784580498866
0,bzip2.wav,0.22301587301587303
0,sar.wav,0.7977551020408163
0,tput.wav,0.15312925170068029
0,helpztags.wav,0.014489795918367347
0,gc.wav,0.10587301587301587
0,dotty.wav,0.012063492063492064
0,mkfifo.wav,0.24700680272108844
0,xdg-user-dirs-update.wav,0.15249433106575963
0,pkttyagent.wav,0.12968253968253968
0,ul.wav,0.1301814058956916
0,grub-editenv.wav,2.282380952380952
0,systemd-cat.wav,0.10736961451247165
0,gts2dxf.wav,0.08328798185941043
0,atobm.wav,0.08324263038548753
0,turbostat.wav,0.00943310657596372
0,x11perfcomp.wav,0.01614512471655329
0,uniq.wav,0.22378684807256236
0,gold.wav,18.315895691609978
0,gnome-terminal.wav,0.019523809523809523
0,ping6.wav,0.5091383219954648
0,gst-discoverer-1.0.wav,0.17625850340136054
0,gtscompare.wav,0.15467120181405897
0,mapscrn.wav,0.1770748299319728
0,dpkg-trigger.wav,0.24714285714285714
0,rstartd.wav,0.008571428571428572
0,mousetweaks.wav,0.40791383219954647
0,gtk4-rendernode-tool.wav,0.2226077097505669
0,encguess.wav,0.01764172335600907
0,ddstdecode.wav,0.10655328798185941
0,pw-dot.wav,0.22301587301587303
0,bzmore.wav,0.007596371882086168
0,fc-cat.wav,0.10691609977324264
0,lavadecode.wav,0.1302267573696145
0,chvt.wav,0.08365079365079366
0,x86_64-linux-gnu-strings.wav,0.17793650793650795
0,pdfseparate.wav,0.1301814058956916
0,nautilus-autorun-software.wav,0.10646258503401361
0,unlink.wav,0.20056689342403627
0,xman.wav,0.44841269841269843
0,git-cvsserver.wav,0.9285260770975057
0,slabtop.wav,0.13049886621315193
0,x86_64-linux-gnu-gcov-13.wav,6.294988662131519
0,htdigest.wav,0.08328798185941043
0,apt-cdrom.wav,0.1539002267573696
0,ccomps.wav,0.15276643990929706
0,setlogcons.wav,0.08365079365079366
0,nvidia-detector.wav,0.0017687074829931973
0,lsusb.wav,1.4312698412698412
0,pkexec.wav,0.1757142857142857
0,basenc.wav,0.2702267573696145
0,linkicc.wav,0.15331065759637189
0,xclip.wav,0.15217687074829933
0,mandb.wav,0.8342630385487528
0,gpg-connect-agent.wav,0.5070521541950114
0,gcc-ranlib-13.wav,0.20120181405895693
0,ua.wav,0.005918367346938775
0,awk.wav,0.9683219954648526
0,prezip.wav,0.03231292517006803
0,slirp4netns.wav,0.3655555555555556
0,setkeycodes.wav,0.08365079365079366
0,gst-stats-1.0.wav,0.19984126984126985
0,w.wav,0.15335600907029479
0,jsonpatch.wav,0.022108843537414966
0,which.debianutils.wav,0.0063718820861678
0,dpkg-gensymbols.wav,0.06213151927437642
0,ps2pdf13.wav,0.0014512471655328798
0,column.wav,0.22306122448979593
0,ip.wav,4.3815192743764175
0,skill.wav,0.15358276643990929
0,foo2zjs-wrapper.wav,0.14736961451247166
0,qemu-storage-daemon.wav,20.20814058956916
0,systemd-machine-id-setup.wav,0.1083673469387755
0,evince-previewer.wav,0.4095918367346939
0,vboxmanage.wav,0.015487528344671202
0,pr.wav,0.4099546485260771
0,usbhid-dump.wav,0.17662131519274377
0,getent.wav,0.22501133786848074
0,unflatten.wav,0.0826530612244898
0,xdg-open.wav,0.14804988662131519
0,session-migration.wav,0.12882086167800452
0,captoinfo.wav,0.5251020408163265
0,lexgrog.wav,0.577891156462585
0,setupcon.wav,0.23281179138321995
0,kbdinfo.wav,0.10687074829931972
0,bitmap.wav,0.6173922902494331
0,xdg-desktop-icon.wav,0.1172562358276644
0,pipewire-aes67.wav,0.08369614512471656
0,ps2ps2.wav,0.004036281179138322
0,snapctl.wav,38.440113378684806
0,driverless-fax.wav,0.003582766439909297
0,taskset.wav,0.17657596371882087
0,foo2slx.wav,0.18015873015873016
0,x86_64-linux-gnu-gcc-ranlib.wav,0.20120181405895693
0,localectl.wav,0.1537641723356009
0,HEAD.wav,0.09235827664399093
0,logname.wav,0.20056689342403627
0,gpu-manager.wav,0.45780045351473925
0,xkbbell.wav,0.08337868480725624
0,wdctl.wav,0.19993197278911565
0,ubuntu-core-launcher.wav,0.8547165532879819
0,time.wav,0.15421768707482994
